Method,r_bar,mu_bar,sigma_bar,eta_%,train_time_s
qlearning,0.8515,0.9625,0.525,88.7,0.3
dqn,0.9194,0.9655,0.267,95.77,37.2
fixed,0.645,0.645,0.0,67.19,--
random,0.4876,0.6655,0.8895,50.79,--
reactive,0.9502,0.9585,0.0415,98.98,--
