Method,r_bar,mu_bar,sigma_bar,eta_%,train_time_s
qlearning,0.8446,1.0,0.777,87.37,0.3
dqn,0.9112,1.0,0.444,94.26,42.9
fixed,0.667,0.667,0.0,69.0,--
random,0.4869,0.6645,0.8895,50.37,--
reactive,0.6556,0.713,0.287,67.82,--
